Word,Ink,Response Time,Correct
g,y,1.0305510650000542,1.0
y,y,0.6383432530000164,1.0
y,y,0.47993404800001827,1.0
b,r,0.92765840200002,1.0
b,g,1.1237382889999026,1.0
b,r,0.9376803470000823,1.0
g,g,0.8153665199999978,1.0
y,g,0.8556238869999788,1.0
y,g,0.5676535359999662,1.0
y,b,1.1479148699999087,1.0
b,y,1.2883278950000658,1.0
b,b,1.1994728799999166,1.0
r,r,0.641958299999942,1.0
g,y,0.962760559000003,1.0
y,r,1.1257546110000476,1.0
r,b,0.652249983000047,0.0
g,b,1.2435571680000521,1.0
r,g,1.1408823599999778,1.0
g,b,1.3060470990000113,1.0
r,g,0.8159268129999191,0.0
