time,number,status
0.327669016,1,congruent
0.420097889,2,congruent
0.437864609,3,congruent
0.469010022,4,congruent
0.489253947,5,congruent
0.491899372,6,congruent
0.515787604,7,congruent
0.531960847,8,congruent
0.535366114,9,congruent
0.550893529,10,congruent
0.552296764,11,congruent
0.552706846,12,congruent
0.555604346,13,congruent
0.560039997,14,congruent
0.579974857,15,congruent
0.593141952,16,congruent
0.599634501,17,congruent
0.604862158,18,congruent
0.605676785,19,congruent
0.605798573,20,congruent
0.613838566,21,congruent
0.620605428,22,congruent
0.624304603,23,congruent
0.627156997,24,congruent
0.638495389,25,congruent
0.641960703,26,congruent
0.644671434,27,congruent
0.650723745,28,congruent
0.654158271,29,congruent
0.654462461,30,congruent
0.660462056,31,congruent
0.671235589,32,congruent
0.679807396,33,congruent
0.680815707,34,congruent
0.685666734,35,congruent
0.685918734,36,congruent
0.687070721,37,congruent
0.68799901,38,congruent
0.702120108,39,congruent
0.713459424,40,congruent
0.713729587,41,congruent
0.741824563,42,congruent
0.742393907,43,congruent
0.742723537,44,congruent
0.744468472,45,congruent
0.767270651,46,congruent
0.773462158,47,congruent
0.781804784,48,congruent
0.7870589,49,congruent
0.788567083,50,congruent
0.790540219,51,congruent
0.796430846,52,congruent
0.804274622,53,congruent
0.808786555,54,congruent
0.814580304,55,congruent
0.835752978,56,congruent
0.843104045,57,congruent
0.843933622,58,congruent
0.846839321,59,congruent
0.857382202,60,congruent
0.857924476,61,congruent
0.860741202,62,congruent
0.864437766,63,congruent
0.881836378,64,congruent
0.88902305,65,congruent
0.889241888,66,congruent
0.910879303,67,congruent
0.912819419,68,congruent
0.914096832,69,congruent
0.918771777,70,congruent
0.931120447,71,congruent
0.934642193,72,congruent
0.949007487,73,congruent
0.95223083,74,congruent
0.956005586,75,congruent
0.969040252,76,congruent
0.970136087,77,congruent
0.977592253,78,congruent
0.98379491,79,congruent
0.990829945,80,congruent
0.998646963,81,congruent
1.008778688,82,congruent
1.047315208,83,congruent
1.06713437,84,congruent
1.067661323,85,congruent
1.094261692,86,congruent
1.116461663,87,congruent
1.117946951,88,congruent
1.173222686,89,congruent
1.176622292,90,congruent
1.197752412,91,congruent
1.226447716,92,congruent
1.280098373,93,congruent
1.419898987,94,congruent
1.476005077,95,congruent
1.481261015,96,congruent
1.590544952,97,congruent
1.678369533,98,congruent
2.081315994,99,congruent
2.201704025,100,congruent
0.479914391,1,incongruent
0.546537547,2,incongruent
0.586648259,3,incongruent
0.588276503,4,incongruent
0.644196459,5,incongruent
0.658684446,6,incongruent
0.686714341,7,incongruent
0.693290697,8,incongruent
0.693705691,9,incongruent
0.722075687,10,incongruent
0.739301894,11,incongruent
0.74142565,12,incongruent
0.766908462,13,incongruent
0.770554608,14,incongruent
0.788567083,15,incongruent
0.800622369,16,incongruent
0.811387062,17,incongruent
0.811538404,18,incongruent
0.819546204,19,incongruent
0.839376221,20,incongruent
0.845521927,21,incongruent
0.852655516,22,incongruent
0.855806794,23,incongruent
0.859989295,24,incongruent
0.868913788,25,incongruent
0.869164892,26,incongruent
0.873009466,27,incongruent
0.875670161,28,incongruent
0.880696058,29,incongruent
0.881858429,30,incongruent
0.891133236,31,incongruent
0.902155876,32,incongruent
0.90273118,33,incongruent
0.903183831,34,incongruent
0.904099941,35,incongruent
0.905767235,36,incongruent
0.907942306,37,incongruent
0.910802126,38,incongruent
0.911480242,39,incongruent
0.914164066,40,incongruent
0.91469717,41,incongruent
0.922879555,42,incongruent
0.928025007,43,incongruent
0.934725102,44,incongruent
0.935574821,45,incongruent
0.936620103,46,incongruent
0.939133015,47,incongruent
0.944850694,48,incongruent
0.947093613,49,incongruent
0.950361153,50,incongruent
0.952696085,51,incongruent
0.963082113,52,incongruent
0.967413755,53,incongruent
0.967526197,54,incongruent
0.972978493,55,incongruent
0.978224171,56,incongruent
0.978718996,57,incongruent
0.986739159,58,incongruent
0.987293321,59,incongruent
0.989939048,60,incongruent
1.005375147,61,incongruent
1.009480963,62,incongruent
1.014640711,63,incongruent
1.015819478,64,incongruent
1.017412687,65,incongruent
1.021337525,66,incongruent
1.021477938,67,incongruent
1.029049057,68,incongruent
1.05834657,69,incongruent
1.067161103,70,incongruent
1.068427736,71,incongruent
1.070192451,72,incongruent
1.088066816,73,incongruent
1.088798034,74,incongruent
1.093872673,75,incongruent
1.101042989,76,incongruent
1.107587099,77,incongruent
1.1133193,78,incongruent
1.127346965,79,incongruent
1.131474606,80,incongruent
1.132890866,81,incongruent
1.136629718,82,incongruent
1.140127667,83,incongruent
1.14141798,84,incongruent
1.147154628,85,incongruent
1.16467905,86,incongruent
1.166919972,87,incongruent
1.173299246,88,incongruent
1.190761089,89,incongruent
1.193929325,90,incongruent
1.202270141,91,incongruent
1.210863829,92,incongruent
1.214871168,93,incongruent
1.218103705,94,incongruent
1.218535361,95,incongruent
1.237977028,96,incongruent
1.24038232,97,incongruent
1.260909081,98,incongruent
1.266880989,99,incongruent
1.267275307,100,incongruent
